date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:52:44	382/382	---M--	200	added ('OK')	text/plain	etag:%2217e-4f64f8a064cbd%22	http://christiafung.com/robots.txt		(from )
07:52:44	23209/23209	---M--	200	added ('OK')	text/html	etag:%225aa9-5838feb4cd029%22	http://christiafung.com/	C:/My%20Web%20Sites/maker/christiafung.com/index.html	(from )
07:52:45	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-4f64fb9f66591%22	http://christiafung.com/favicon.ico	C:/My%20Web%20Sites/maker/christiafung.com/favicon.ico	(from http://christiafung.com/)
07:52:45	77361/77361	---M--	200	added ('OK')	text/css	etag:%2212e31-5453d55d04d93%22	http://christiafung.com/css/foundation.min.css	C:/My%20Web%20Sites/maker/christiafung.com/css/foundation.min.css	(from http://christiafung.com/)
07:52:46	774/774	---M--	200	added ('OK')	text/css	etag:%22306-5453d55d2a716%22	http://christiafung.com/css/reset.css	C:/My%20Web%20Sites/maker/christiafung.com/css/reset.css	(from http://christiafung.com/)
07:52:46	395/395	---M--	200	added ('OK')	text/css	etag:%2218b-5453d55c312db%22	http://christiafung.com/css/bgColourChange.css	C:/My%20Web%20Sites/maker/christiafung.com/css/bgColourChange.css	(from http://christiafung.com/)
07:52:46	15671/15671	---M--	200	added ('OK')	text/css	etag:%223d37-588d0147a6e3e%22	http://christiafung.com/css/styles.css	C:/My%20Web%20Sites/maker/christiafung.com/css/styles.css	(from http://christiafung.com/)
07:52:47	2514/2514	---M--	200	added ('OK')	text/css	etag:%229d2-5453d55d72b7c%22	http://christiafung.com/css/svgstyle.css	C:/My%20Web%20Sites/maker/christiafung.com/css/svgstyle.css	(from http://christiafung.com/)
07:52:47	1405/1405	---M--	200	added ('OK')	text/css	etag:%2257d-5453d55c11eb9%22	http://christiafung.com/css/animations.css	C:/My%20Web%20Sites/maker/christiafung.com/css/animations.css	(from http://christiafung.com/)
07:52:49	57095/57095	---M--	200	added ('OK')	text/css	etag:%22df07-5453d55be6b95%22	http://christiafung.com/css/animate.css	C:/My%20Web%20Sites/maker/christiafung.com/css/animate.css	(from http://christiafung.com/)
07:52:50	4043/4043	---M--	200	added ('OK')	image/svg+xml	etag:%22fcb-578ef9b29cb3b%22	http://christiafung.com/svg/ChristiaFung.svg	C:/My%20Web%20Sites/maker/christiafung.com/svg/ChristiaFung.svg	(from http://christiafung.com/)
07:52:50	1208/1208	---M--	200	added ('OK')	image/svg+xml	etag:%224b8-5453d55e7c953%22	http://christiafung.com/svg/CFMonogram.svg	C:/My%20Web%20Sites/maker/christiafung.com/svg/CFMonogram.svg	(from http://christiafung.com/)
07:52:51	665/665	---M--	200	added ('OK')	image/svg+xml	etag:%22299-5453d55fba339%22	http://christiafung.com/svg/x.svg	C:/My%20Web%20Sites/maker/christiafung.com/svg/x.svg	(from http://christiafung.com/)
07:52:55	12758/12758	---M--	200	added ('OK')	text/html	etag:%2231d6-588cfc4c4de3c%22	http://christiafung.com/pepcirc.html	C:/My%20Web%20Sites/maker/christiafung.com/pepcirc.html	(from http://christiafung.com/)
07:52:56	10482/10482	---M--	200	added ('OK')	text/html	etag:%2228f2-5838feb12e045%22	http://christiafung.com/tpl.html	C:/My%20Web%20Sites/maker/christiafung.com/tpl.html	(from http://christiafung.com/)
07:52:57	13020/13020	---M--	200	added ('OK')	text/html	etag:%2232dc-58416249ec961%22	http://christiafung.com/smirnoff.html	C:/My%20Web%20Sites/maker/christiafung.com/smirnoff.html	(from http://christiafung.com/)
07:52:58	9265/9265	---M--	200	added ('OK')	text/html	etag:%222431-56a2a7739f94d%22	http://christiafung.com/fancyfranks.html	C:/My%20Web%20Sites/maker/christiafung.com/fancyfranks.html	(from http://christiafung.com/)
07:53:09	76857/76857	---M--	200	added ('OK')	image/gif	etag:%2212c39-573c12a53e472%22	http://christiafung.com/images/Thumb_Smirnoff.gif	C:/My%20Web%20Sites/maker/christiafung.com/images/Thumb_Smirnoff.gif	(from http://christiafung.com/)
07:53:10	9756/9756	---M--	200	added ('OK')	text/html	etag:%22261c-5838feb0ca6ba%22	http://christiafung.com/matsuda.html	C:/My%20Web%20Sites/maker/christiafung.com/matsuda.html	(from http://christiafung.com/)
07:53:11	75858/75858	---M--	200	added ('OK')	image/jpeg	etag:%2212852-56a2a6bb7eff7%22	http://christiafung.com/images/Thumb_FancyFranks.jpg	C:/My%20Web%20Sites/maker/christiafung.com/images/Thumb_FancyFranks.jpg	(from http://christiafung.com/)
07:53:11	9630/9630	---M--	200	added ('OK')	text/html	etag:%22259e-56a2a6bc1abe4%22	http://christiafung.com/eshara.html	C:/My%20Web%20Sites/maker/christiafung.com/eshara.html	(from http://christiafung.com/)
07:53:18	153671/153671	---M--	200	added ('OK')	image/png	etag:%2225847-588d01a319934%22	http://christiafung.com/images/Thumb_PepCirc.png	C:/My%20Web%20Sites/maker/christiafung.com/images/Thumb_PepCirc.png	(from http://christiafung.com/)
07:53:19	17066/17066	---M--	200	added ('OK')	text/html	etag:%2242aa-56a2a6c2f03d6%22	http://christiafung.com/beneplan.html	C:/My%20Web%20Sites/maker/christiafung.com/beneplan.html	(from http://christiafung.com/)
07:53:20	49288/49288	---M--	200	added ('OK')	image/jpeg	etag:%22c088-56a2a67e640b1%22	http://christiafung.com/images/Thumb_Eshara.jpg	C:/My%20Web%20Sites/maker/christiafung.com/images/Thumb_Eshara.jpg	(from http://christiafung.com/)
